distance between gripper and bottle, TimeStampMs
0.38174880,0
0.38174880,29
0.38174880,41
0.38174880,55
0.21495160,71
0.38174880,82
0.38174870,99
0.21495160,114
0.38174880,126
0.38174890,140
0.21495160,152
0.38174900,163
0.38174880,176
0.21495160,188
0.38174890,199
0.21495160,212
0.38174890,223
0.38174880,236
0.21495160,249
0.38174880,261
0.21495160,273
0.38174860,283
0.38174860,295
0.21495160,307
0.38174850,316
0.21495160,328
0.38174830,338
0.21495160,350
0.38174830,360
0.21495160,371
0.38174820,381
0.21495160,392
0.38174810,403
0.21495160,414
0.38174810,425
0.38174790,437
0.38174780,455
0.21495160,467
0.38174780,476
0.21495160,488
0.38174770,497
0.21495160,509
0.38174750,519
0.21495160,530
0.38174730,540
0.21495160,553
0.38174720,563
0.38174710,576
0.21495160,588
0.38174700,598
0.21495160,610
0.38174690,620
0.21495160,633
0.38174680,643
0.38174690,655
0.21495160,667
0.38174680,678
0.21495160,691
0.38174680,701
0.21495160,714
0.38174670,725
0.38174660,736
0.21495160,747
0.38174660,757
0.21495160,767
0.38174660,776
0.21495160,788
0.38174670,798
0.21495160,810
0.38174670,828
0.38174670,839
0.21495160,851
0.38174670,861
0.21495160,872
0.38174680,883
0.38174670,896
0.21495160,906
0.38174680,916
0.21495160,928
0.38174690,938
0.21495160,949
0.38174690,959
0.21495160,971
0.38174700,981
0.21495160,993
0.38174690,1003
0.21495160,1014
0.38174720,1023
0.38174730,1035
0.21495160,1047
0.38174720,1057
0.21495160,1070
0.38174740,1078
0.21495160,1091
0.38174740,1101
0.21495160,1113
0.38174740,1123
0.38174750,1135
0.21495160,1147
0.38174760,1156
0.21495160,1167
0.38174760,1176
0.21495160,1188
0.38174770,1197
0.21495160,1209
0.38174780,1219
0.21495160,1230
0.38174780,1239
0.21495160,1251
0.38174790,1261
0.21495160,1272
0.38174800,1282
0.21495160,1294
0.38174800,1304
0.38174800,1315
0.21495160,1327
0.38174800,1337
0.21495160,1349
0.38174810,1358
0.21495160,1371
0.38174810,1380
0.21495160,1392
0.38174810,1402
0.21495160,1413
0.38174820,1423
0.38174820,1436
0.21495160,1447
0.38174820,1457
0.21495160,1469
0.38174830,1479
0.21495160,1491
0.38174820,1500
0.21495160,1512
0.38174820,1522
0.21495160,1533
0.38174820,1543
0.21495160,1554
0.38174820,1564
0.38174810,1576
0.21495160,1590
0.38174820,1599
0.38174800,1616
0.21495160,1627
0.38174800,1638
0.21495160,1649
0.38174800,1659
0.21495160,1670
0.38174780,1679
0.21495160,1691
0.38174780,1701
0.21495160,1712
0.38174760,1722
0.21495160,1733
0.38174750,1744
0.38174740,1755
0.21495160,1766
0.38174730,1776
0.21495160,1789
0.38174740,1798
0.21495160,1810
0.38174730,1820
0.21495160,1831
0.38174720,1841
0.21495160,1853
0.38174700,1862
0.21495160,1874
0.38174700,1884
0.38174690,1897
0.21495160,1909
0.38174680,1918
0.21495160,1929
0.38174670,1939
0.21495160,1952
0.38174670,1961
0.21495160,1973
0.38174660,1982
0.38174660,1995
0.21495160,2007
0.38174660,2016
0.21495160,2028
0.38174650,2038
0.21495160,2050
0.38174660,2061
0.21495160,2074
0.38174660,2085
0.38174660,2098
0.21495160,2113
0.38174650,2124
0.38174640,2137
0.21495160,2148
0.38174650,2159
0.21495160,2172
0.38174640,2183
0.38174650,2197
0.21495160,2209
0.38174660,2220
0.21495160,2233
0.38174660,2243
0.21495160,2254
0.38174660,2264
0.38174660,2276
0.21495160,2288
0.38174660,2298
0.21495160,2310
0.38174670,2319
0.21495160,2330
0.38174670,2342
0.21495160,2354
0.38174690,2363
0.38174690,2378
0.21495160,2391
0.38174690,2401
0.21495160,2412
0.38174710,2424
0.38174710,2435
0.21495160,2446
0.38174720,2456
0.21495160,2468
0.38174730,2477
0.21495160,2487
0.38174740,2498
0.21495160,2510
0.38174740,2520
