PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,TimeStampMs
0.17898180,0.52299590,0.00328643,359.37560000,179.78240000,-0.00139101,0
0.17898190,0.52299580,0.00328751,359.37550000,179.78230000,-0.00138263,29
0.17898200,0.52299580,0.00328830,359.37540000,179.78230000,-0.00135953,41
0.17898200,0.52299580,0.00328875,359.37530000,179.78230000,-0.00137349,55
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,71
0.17898200,0.52299580,0.00328866,359.37520000,179.78310000,-0.00137860,82
0.17898200,0.52299570,0.00328872,359.37520000,179.78360000,-0.00139390,99
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,114
0.17898190,0.52299570,0.00328846,359.37530000,179.78460000,-0.00142198,126
0.17898180,0.52299590,0.00328841,359.37530000,179.78520000,-0.00145211,140
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,152
0.17898180,0.52299590,0.00328819,359.37540000,179.78580000,-0.00146088,163
0.17898190,0.52299590,0.00328783,359.37550000,179.78630000,-0.00144766,176
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,188
0.17898180,0.52299590,0.00328722,359.37560000,179.78650000,-0.00145350,199
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,212
0.17898180,0.52299580,0.00328647,359.37570000,179.78680000,-0.00146903,223
0.17898180,0.52299590,0.00328552,359.37590000,179.78700000,-0.00147015,236
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,249
0.17898180,0.52299580,0.00328446,359.37610000,179.78720000,-0.00145726,261
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,273
0.17898180,0.52299580,0.00328324,359.37630000,179.78740000,-0.00147159,283
0.17898180,0.52299590,0.00328186,359.37650000,179.78750000,-0.00147506,295
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,307
0.17898180,0.52299590,0.00328047,359.37670000,179.78770000,-0.00146812,316
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,328
0.17898190,0.52299580,0.00327890,359.37700000,179.78790000,-0.00147882,338
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,350
0.17898190,0.52299580,0.00327739,359.37710000,179.78810000,-0.00148907,360
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,371
0.17898200,0.52299610,0.00327549,359.37740000,179.78880000,-0.00148514,381
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,392
0.17898200,0.52299590,0.00327379,359.37770000,179.78940000,-0.00148467,403
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,414
0.17898190,0.52299590,0.00327205,359.37790000,179.78990000,-0.00148019,425
0.17898190,0.52299570,0.00327074,359.37810000,179.78970000,-0.00147115,437
0.17898200,0.52299580,0.00326909,359.37840000,179.78930000,-0.00146953,455
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,467
0.17898200,0.52299580,0.00326737,359.37860000,179.78900000,-0.00146134,476
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,488
0.17898200,0.52299590,0.00326571,359.37880000,179.78850000,-0.00146196,497
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,509
0.17898210,0.52299580,0.00326407,359.37900000,179.78790000,-0.00144828,519
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,530
0.17898210,0.52299580,0.00326229,359.37930000,179.78740000,-0.00143127,540
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,553
0.17898220,0.52299590,0.00326079,359.37950000,179.78680000,-0.00139714,563
0.17898220,0.52299580,0.00325920,359.37960000,179.78650000,-0.00138174,576
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,588
0.17898230,0.52299580,0.00325742,359.37980000,179.78720000,-0.00138682,598
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,610
0.17898230,0.52299570,0.00325612,359.37990000,179.78770000,-0.00138895,620
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,633
0.17898230,0.52299580,0.00325517,359.38000000,179.78820000,-0.00139823,643
0.17898230,0.52299600,0.00325458,359.38010000,179.78820000,-0.00141173,655
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,667
0.17898230,0.52299590,0.00325392,359.38020000,179.78830000,-0.00139364,678
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,691
0.17898230,0.52299580,0.00325352,359.38020000,179.78810000,-0.00139483,701
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,714
0.17898230,0.52299580,0.00325300,359.38020000,179.78790000,-0.00140251,725
0.17898240,0.52299580,0.00325265,359.38030000,179.78780000,-0.00135939,736
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,747
0.17898240,0.52299600,0.00325242,359.38030000,179.78770000,-0.00137852,757
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,767
0.17898240,0.52299570,0.00325236,359.38030000,179.78740000,-0.00137268,776
0.33979250,0.39113160,-0.00538045,354.03130000,185.08270000,12.14112000,788
0.17898230,0.52299590,0.00325243,359.38030000,179.78700000,-0.00136974,798
